Survived,Pclass,Parch,Fare,has_cabin,Sex_male,Embarked_Q,Embarked_S,IsAlone,AgeGroup,Title
0,3,0,7.925,0,True,False,True,0,3,0
0,3,0,7.8958,0,True,False,True,1,2,0
1,3,0,7.65,0,False,False,True,1,2,1
1,3,0,7.775,0,True,False,True,1,2,0
0,3,0,7.8958,0,True,False,True,1,3,0
1,3,0,24.15,0,False,True,False,0,2,1
0,1,0,52.0,1,True,False,True,1,3,0
0,3,0,14.4542,0,False,False,False,0,1,1
0,3,0,8.05,0,True,False,True,1,2,0
0,3,0,9.825,0,False,False,True,0,2,1
0,3,0,14.4583,0,False,False,False,1,1,1
0,3,0,7.925,0,True,False,True,1,2,0
0,3,0,7.75,0,True,True,False,1,3,0
0,2,0,21.0,0,True,False,True,0,2,0
0,1,0,65.6563,1,True,False,False,1,2,0
0,3,0,31.275,0,False,False,True,0,0,1
0,2,0,65.6563,0,True,False,True,0,2,0
0,3,0,8.05,0,True,False,True,1,2,0
0,2,0,30.0708,0,True,False,False,0,2,0
1,2,0,13.0,1,False,False,True,1,2,1
0,1,0,65.6563,1,True,False,True,1,3,0
1,3,0,11.2417,0,True,False,False,0,0,3
0,3,0,7.75,0,True,True,False,1,2,0
1,3,0,7.1417,0,True,False,True,1,2,0
1,3,0,22.3583,1,False,False,False,0,2,1
0,3,0,6.975,0,True,False,True,1,3,0
0,3,0,7.8958,0,True,False,False,1,2,0
0,3,0,7.05,0,True,False,True,1,2,0
0,3,0,14.5,0,False,False,True,0,3,2
1,2,0,26.0,0,False,False,True,0,2,2
0,2,0,13.0,0,True,False,True,1,2,0
0,2,0,15.0458,0,True,False,False,1,2,0
1,1,0,26.2833,1,False,False,True,1,2,1
0,1,0,53.1,1,True,False,True,0,3,0
0,3,0,9.2167,0,True,False,True,1,1,0
0,1,0,65.6563,1,True,False,False,1,2,0
0,3,0,15.2458,0,False,False,False,1,2,2
1,3,0,7.75,0,False,False,True,1,2,1
1,3,0,15.85,0,False,False,True,0,2,2
0,3,0,6.75,0,True,True,False,1,2,0
0,2,0,11.5,0,True,False,True,1,1,0
0,2,0,36.75,0,True,False,True,0,2,0
1,3,0,7.7958,0,True,False,True,1,2,0
0,3,0,34.375,0,False,False,True,0,0,1
0,2,0,26.0,1,True,False,True,1,3,0
0,2,0,13.0,0,True,False,True,1,3,4
0,2,0,12.525,0,True,False,True,1,3,4
1,1,0,65.6563,1,False,False,True,0,2,2
0,3,0,8.05,0,True,False,True,1,3,0
0,3,0,14.5,0,True,False,True,1,3,0
0,3,0,7.3125,0,True,False,True,1,2,0
0,1,0,61.3792,0,True,False,False,1,3,0
1,3,0,7.7333,0,False,True,False,1,1,1
0,3,0,8.05,0,True,False,True,1,2,0
0,3,0,8.6625,0,True,False,True,1,2,0
0,3,0,65.6563,0,True,False,True,0,2,3
0,3,0,16.1,0,True,False,True,1,3,0
1,2,0,15.75,0,False,False,True,1,3,2
0,3,0,7.775,0,True,False,True,1,2,0
0,3,0,8.6625,0,True,False,True,1,1,0
0,3,0,39.6875,0,True,False,True,0,0,3
1,3,0,20.525,0,True,False,True,1,0,3
1,1,0,55.0,1,False,False,True,1,2,2
0,3,0,27.9,0,False,False,True,0,3,2
0,1,0,25.925,0,True,False,True,1,3,0
0,3,0,56.4958,0,True,False,True,1,2,0
0,1,0,33.5,1,True,False,True,1,3,0
0,3,0,29.125,0,True,True,False,0,0,3
1,3,0,11.1333,0,False,False,True,0,0,1
0,3,0,7.925,0,True,False,True,1,2,0
0,1,0,30.6958,1,True,False,False,1,3,0
0,3,0,7.8542,0,True,False,True,0,1,0
0,3,0,25.4667,0,True,False,True,0,2,3
0,1,0,28.7125,1,False,False,False,1,3,1
0,2,0,13.0,0,True,False,True,1,2,0
0,3,0,0.0,0,True,False,True,1,3,0
0,3,0,65.6563,0,False,False,True,0,2,1
0,2,0,15.05,0,True,False,False,1,2,0
0,3,0,31.3875,0,True,False,True,0,0,3
1,2,0,39.0,1,True,False,True,0,0,3
1,3,0,22.025,0,False,False,True,1,0,1
0,1,0,50.0,1,True,False,True,1,3,0
1,3,0,15.5,0,False,True,False,0,2,2
1,1,0,26.55,0,True,False,True,1,3,0
0,3,0,15.5,0,True,True,False,0,3,0
0,3,0,7.8958,0,True,False,True,1,3,0
1,2,0,13.0,0,False,False,True,1,2,2
0,2,0,13.0,0,True,False,True,1,2,0
1,3,0,7.8542,0,False,False,True,0,2,1
1,2,0,26.0,1,True,False,True,0,0,3
1,1,0,27.7208,1,False,False,False,1,3,2
1,1,0,65.6563,1,False,False,False,1,3,1
0,3,0,7.75,0,True,True,False,1,2,0
0,3,0,8.4042,0,True,False,True,1,3,0
1,3,0,7.75,0,False,True,False,1,2,1
0,2,0,13.0,0,False,False,True,1,2,1
0,3,0,9.5,0,True,False,True,1,2,0
0,3,0,65.6563,0,True,False,True,0,2,0
0,3,0,6.4958,0,True,False,True,1,2,0
0,3,0,7.225,0,True,False,False,1,3,0
1,3,0,8.05,0,True,False,True,1,1,0
0,3,0,10.4625,1,False,False,True,1,0,1
0,3,0,15.85,0,True,False,True,0,2,0
1,3,0,18.7875,0,True,False,False,1,2,0
1,3,0,7.75,0,False,True,False,1,1,1
1,1,0,31.0,1,True,False,False,1,3,0
0,3,0,7.05,0,True,False,True,1,2,0
1,2,0,21.0,0,False,False,True,1,2,1
0,3,0,7.25,0,True,False,True,1,2,0
0,2,0,13.0,0,True,False,True,1,2,0
0,3,0,7.75,0,True,True,False,0,2,0
1,1,0,65.6563,1,False,False,False,0,2,1
1,3,0,7.925,0,False,False,True,1,2,1
0,2,0,27.0,0,True,False,True,0,3,0
1,1,0,65.6563,1,False,False,False,1,2,1
0,2,0,10.5,0,True,False,True,1,2,0
1,3,0,8.05,0,True,False,True,1,1,0
0,2,0,13.0,0,True,False,True,1,2,0
0,3,0,8.05,0,True,False,True,1,3,0
0,3,0,7.8958,0,True,False,True,1,2,0
1,1,0,65.6563,1,True,False,True,0,3,0
0,3,0,9.35,0,True,False,True,1,2,0
1,2,0,10.5,0,True,False,True,1,2,0
0,3,0,7.25,0,True,False,True,1,2,0
0,2,0,13.0,0,True,False,True,1,1,0
0,3,0,25.4667,0,False,False,True,0,2,1
1,1,0,65.6563,1,False,False,True,0,2,2
0,3,0,7.775,0,True,False,True,1,2,0
0,2,0,13.5,0,True,False,True,1,3,0
1,3,0,31.3875,0,False,False,True,0,0,1
0,2,0,10.5,0,True,False,True,1,2,0
0,3,0,7.55,0,False,False,True,1,2,1
0,2,0,26.0,0,True,False,True,0,3,0
1,2,0,26.25,0,False,False,True,1,0,1
0,2,0,10.5,0,True,False,True,1,2,0
0,2,0,12.275,0,True,False,True,1,2,0
0,3,0,14.4542,0,False,False,False,0,2,1
1,3,0,15.5,0,False,True,False,0,2,1
0,2,0,10.5,0,True,False,True,1,2,0
0,3,0,7.125,0,True,False,True,1,2,0
0,3,0,7.225,0,True,False,False,1,2,0
0,1,0,65.6563,1,True,True,False,0,3,4
0,3,0,7.775,0,False,False,True,1,2,1
1,2,0,14.5,0,False,False,True,1,2,2
1,1,0,52.5542,1,True,False,True,0,3,0
0,2,0,26.0,0,True,False,True,0,3,4
0,3,0,7.25,0,True,False,True,1,2,0
0,3,0,10.4625,1,False,False,True,0,2,2
0,1,0,26.55,1,True,False,True,1,3,0
0,3,0,16.1,0,True,False,True,0,2,0
0,3,0,20.2125,0,False,False,True,1,3,2
1,3,0,15.2458,0,False,False,False,1,2,2
1,1,0,65.6563,0,False,False,False,1,2,2
1,1,0,65.6563,1,False,False,True,1,2,1
1,1,0,65.6563,0,False,False,False,1,2,1
1,2,0,26.0,0,False,False,True,1,3,2
0,3,0,7.75,0,True,True,False,1,2,0
1,3,0,31.3875,0,True,False,True,0,0,3
0,1,0,65.6563,1,True,False,True,0,3,0
0,1,0,0.0,1,True,False,True,1,3,0
0,3,0,7.75,0,False,True,False,1,2,1
0,2,0,10.5,0,True,False,True,1,3,0
0,3,0,39.6875,0,True,False,True,0,1,0
1,3,0,7.775,0,True,False,True,0,2,0
1,1,0,65.6563,1,False,False,True,1,3,2
1,1,0,65.6563,1,False,False,True,1,2,1
0,1,0,31.0,0,True,False,True,1,3,0
1,3,0,0.0,0,True,False,True,1,2,0
1,2,0,19.5,0,False,False,True,1,3,2
0,1,0,29.7,1,True,False,False,1,3,0
1,3,0,7.75,0,False,True,False,1,2,1
1,1,0,65.6563,1,False,False,True,0,3,1
0,3,0,7.75,0,False,False,True,1,3,1
0,2,0,0.0,0,True,False,True,1,2,0
0,3,0,29.125,0,True,True,False,0,0,3
1,3,0,20.25,0,False,False,True,0,2,2
0,3,0,7.75,0,True,True,False,1,3,0
0,3,0,7.8542,0,True,False,True,1,2,0
0,3,0,9.5,0,True,False,True,1,1,0
1,3,0,8.05,0,True,False,True,1,2,0
0,1,0,26.0,1,True,False,True,1,3,0
0,3,0,8.6625,0,True,False,False,1,2,0
1,3,0,9.5,0,True,False,True,1,2,0
0,3,0,7.8958,0,True,False,True,1,2,0
1,2,0,13.0,0,True,False,True,1,3,0
1,3,0,7.75,0,False,True,False,1,2,1
1,1,0,65.6563,0,False,False,True,1,2,1
1,1,0,65.6563,1,False,False,False,0,2,2
0,2,0,12.875,1,True,False,False,1,3,0
0,3,0,8.85,0,False,False,True,1,2,1
0,3,0,7.8958,0,True,False,True,1,2,0
0,1,0,27.7208,0,True,False,False,1,3,0
0,3,0,7.2292,0,True,False,False,1,2,0
0,1,0,65.6563,1,False,False,True,0,0,1
1,1,0,30.5,1,True,False,True,1,3,0
1,1,0,65.6563,1,False,False,False,1,3,2
1,3,0,7.75,0,False,True,False,1,2,1
1,3,0,23.25,0,True,True,False,0,2,0
0,3,0,0.0,0,True,False,True,1,2,0
1,2,0,12.35,1,False,True,False,1,2,1
0,3,0,8.05,0,True,False,True,1,2,0
1,1,0,65.6563,1,True,False,True,0,0,3
1,1,0,65.6563,0,False,False,False,1,2,1
1,1,0,65.6563,1,False,False,False,0,1,2
0,2,0,24.0,0,True,False,False,0,2,0
1,1,0,56.9292,1,False,False,False,1,2,1
1,1,0,65.6563,1,False,False,False,1,2,1
1,1,0,65.6563,1,False,False,False,0,1,1
0,2,0,26.0,0,False,False,True,0,2,2
0,3,0,7.8958,0,True,False,True,1,2,0
0,2,0,26.25,0,True,False,True,0,3,0
1,3,0,7.8542,0,False,False,True,1,2,1
1,2,0,26.0,0,False,False,True,0,2,2
0,2,0,14.0,0,True,False,True,1,3,4
1,1,0,65.6563,1,False,False,True,1,2,1
1,1,0,65.6563,1,False,False,False,0,3,2
0,3,0,7.25,0,True,False,True,1,2,0
0,3,0,7.8958,0,True,False,True,1,2,0
1,2,0,12.35,0,False,True,False,1,2,1
1,2,0,29.0,0,False,False,True,0,2,2
0,3,0,65.6563,0,True,False,True,0,2,0
1,1,0,65.6563,1,False,False,False,1,3,1
0,3,0,6.2375,0,True,False,True,1,3,0
1,2,0,13.0,1,False,False,True,1,3,2
1,3,0,20.525,0,False,False,True,0,2,2
1,1,0,57.9792,1,False,False,False,1,1,1
1,3,0,23.25,0,False,True,False,0,2,1
0,1,0,28.5,1,True,False,True,1,3,0
0,1,0,65.6563,1,True,False,True,1,3,0
0,3,0,18.0,0,True,False,True,0,1,0
1,1,0,65.6563,0,False,False,True,0,2,2
0,3,0,7.8958,0,True,False,True,1,2,0
0,1,0,65.6563,1,True,False,True,0,2,0
1,1,0,65.6563,1,False,False,False,1,3,1
1,3,0,8.05,0,True,False,True,1,3,0
0,1,0,35.5,1,True,False,True,1,3,0
1,2,0,26.0,1,True,False,True,0,0,3
1,1,0,65.6563,1,False,False,True,0,2,1
0,2,0,13.0,0,True,False,True,1,2,0
0,2,0,13.0,0,True,False,True,1,2,0
0,2,0,13.0,0,True,False,True,1,3,0
1,2,0,13.0,1,False,False,True,1,2,1
1,2,0,13.0,0,False,False,True,1,3,1
1,3,0,16.1,0,False,False,True,0,2,2
1,3,0,15.9,0,True,False,True,0,0,3
0,3,0,8.6625,0,True,False,True,1,3,0
0,3,0,9.225,0,True,False,True,1,2,0
0,1,0,35.0,1,True,False,True,1,3,0
0,3,0,7.2292,0,True,False,False,0,1,0
0,3,0,17.8,0,True,False,True,0,2,0
0,3,0,7.225,0,True,False,False,1,2,0
0,3,0,9.5,0,True,False,True,1,2,0
1,1,0,55.0,1,False,False,True,1,2,1
0,2,0,13.0,0,False,False,True,1,3,1
1,3,0,7.8792,0,False,True,False,1,2,1
1,3,0,7.8792,0,False,True,False,1,2,1
0,3,0,27.9,0,True,False,True,0,3,0
0,2,0,27.7208,0,True,False,False,0,2,0
0,3,0,14.4542,0,False,False,False,1,3,2
0,3,0,7.05,0,True,False,True,1,2,0
0,3,0,15.5,0,True,True,False,0,2,0
0,3,0,7.25,0,True,False,True,1,2,0
1,1,0,65.6563,1,False,False,False,0,3,2
1,3,0,7.2292,0,False,False,False,1,2,2
1,3,0,7.75,0,False,True,False,1,2,1
1,1,0,65.6563,1,False,False,False,1,2,2
1,1,0,55.4417,1,True,False,False,0,2,0
0,3,0,6.4958,0,True,False,True,0,1,0
0,3,0,8.05,0,True,False,True,1,2,0
0,1,0,65.6563,0,True,False,False,1,2,0
0,3,0,21.075,0,False,False,True,0,0,1
1,1,0,65.6563,0,False,False,False,0,2,2
1,3,0,7.25,0,False,False,True,1,2,1
0,1,0,65.6563,1,True,False,False,1,2,0
0,3,0,4.0125,0,True,False,False,1,2,0
0,3,0,7.775,0,True,False,True,1,2,0
1,1,0,65.6563,0,False,False,False,1,3,1
1,3,0,15.7417,0,False,False,False,1,0,1
0,3,0,7.925,0,True,False,True,1,2,0
1,1,0,52.0,0,False,False,True,0,2,2
0,3,0,7.8958,0,True,False,True,1,2,0
0,2,0,65.6563,0,True,False,True,1,1,0
0,3,0,46.9,0,True,False,True,0,0,3
1,2,0,13.0,0,False,False,True,1,3,1
0,3,0,7.7292,0,True,True,False,1,2,0
1,2,0,12.0,0,False,False,False,1,1,1
1,1,0,65.6563,1,True,False,True,0,3,0
1,3,0,7.7958,0,True,False,True,1,2,0
0,3,0,7.925,0,True,False,True,0,2,0
1,1,0,65.6563,1,False,False,False,0,2,1
1,3,0,16.7,1,False,False,True,1,2,2
0,3,0,7.7958,0,True,False,True,1,2,0
0,3,0,7.8542,0,False,False,True,1,2,1
0,2,0,26.0,0,True,False,True,1,3,0
0,2,0,10.5,0,True,False,True,1,2,4
1,2,0,12.65,0,False,False,True,1,2,2
1,3,0,7.925,0,True,False,True,1,3,0
0,3,0,8.05,0,True,False,True,1,2,0
0,3,0,9.825,0,False,False,True,0,2,1
0,3,0,15.85,0,True,False,True,0,2,0
0,3,0,8.6625,0,False,False,True,1,2,1
0,2,0,21.0,0,True,False,True,0,2,0
0,3,0,7.75,0,True,False,True,1,3,0
1,2,0,18.75,0,True,False,True,0,0,3
0,3,0,7.775,0,True,False,True,1,2,0
0,3,0,25.4667,0,False,False,True,0,2,1
0,3,0,7.8958,0,True,False,True,1,2,0
0,3,0,6.8583,0,True,True,False,1,2,0
1,1,0,65.6563,1,False,True,False,0,2,1
0,2,0,0.0,0,True,False,True,1,2,0
1,3,0,7.925,0,True,False,True,1,3,0
0,3,0,8.05,0,False,False,True,1,2,2
1,2,0,32.5,0,False,False,True,0,2,2
1,2,0,13.0,0,False,False,True,1,1,1
0,2,0,13.0,0,True,False,True,1,2,0
0,3,0,24.15,0,False,False,True,1,0,1
0,3,0,7.8958,0,True,False,False,1,2,0
0,3,0,7.7333,0,True,True,False,1,2,0
0,3,0,7.875,0,True,False,True,1,2,0
0,3,0,14.4,0,False,False,True,0,2,2
0,3,0,20.2125,0,True,False,True,0,1,0
0,3,0,7.25,0,True,False,True,1,2,0
1,2,0,26.0,0,False,False,True,0,2,2
1,2,0,26.0,0,False,False,True,1,2,1
0,3,0,7.75,0,True,True,False,1,2,0
1,3,0,8.05,1,True,False,True,1,2,0
1,1,0,26.55,1,True,False,True,1,2,0
1,3,0,16.1,0,False,False,True,0,2,2
1,2,0,26.0,0,False,False,True,0,3,2
0,3,0,7.125,0,True,False,True,1,1,0
0,1,0,55.9,1,True,False,True,0,3,0
1,1,0,65.6563,1,False,False,True,0,1,1
0,3,0,34.375,0,False,False,True,0,2,1
1,2,0,18.75,0,False,False,True,0,2,2
0,1,0,65.6563,1,True,False,True,0,3,0
0,2,0,10.5,0,True,False,True,1,2,0
1,2,0,26.25,0,False,False,True,0,3,2
0,3,0,9.5,0,True,False,True,1,2,0
0,3,0,7.775,0,True,False,True,0,2,0
1,2,0,13.0,0,False,False,True,1,2,1
1,3,0,8.1125,0,True,False,True,1,2,0
1,1,0,65.6563,1,True,False,True,1,0,3
1,2,0,19.5,0,False,False,True,1,1,1
1,1,0,26.55,0,True,False,True,1,2,0
1,3,0,19.2583,0,False,False,False,0,0,1
1,1,0,30.5,1,True,False,True,1,3,4
0,2,0,27.75,0,True,False,True,0,3,0
0,3,0,19.9667,0,True,False,True,0,2,0
0,1,0,27.75,1,True,False,False,1,2,0
1,1,0,65.6563,1,True,False,False,0,3,0
0,3,0,8.05,0,True,False,True,1,2,0
1,3,0,7.8958,0,True,False,False,1,2,0
0,1,0,26.55,1,True,False,True,1,3,0
1,1,0,51.8625,1,False,False,True,0,2,2
1,2,0,10.5,0,False,False,True,1,3,1
0,3,0,7.75,0,True,True,False,1,2,0
1,1,0,26.55,1,True,False,True,1,3,0
0,3,0,8.05,0,True,False,True,1,2,0
0,1,0,38.5,1,True,False,True,1,3,0
0,2,0,13.0,0,True,False,True,1,3,0
0,3,0,8.05,0,True,False,True,1,2,0
0,3,0,7.05,0,True,False,True,1,3,0
0,2,0,0.0,0,True,False,True,1,2,0
0,1,0,26.55,0,True,False,True,1,3,0
0,3,0,7.725,0,True,True,False,1,2,0
1,3,0,19.2583,0,False,False,False,0,0,1
0,3,0,7.25,0,True,False,True,1,2,0
0,3,0,8.6625,0,True,False,True,1,3,0
1,2,0,27.75,0,False,False,True,0,2,2
1,2,0,13.7917,1,False,False,False,1,2,2
0,3,0,9.8375,0,False,False,True,1,2,1
0,1,0,52.0,1,True,False,True,1,3,0
0,2,0,21.0,0,True,False,True,0,2,0
0,3,0,7.0458,0,True,False,True,0,2,0
0,3,0,7.5208,0,True,False,True,1,2,0
1,3,0,12.2875,0,False,False,True,1,0,1
0,3,0,46.9,0,True,False,True,0,0,3
0,2,0,0.0,0,True,False,True,1,2,0
0,3,0,8.05,0,True,False,True,1,3,0
1,3,0,9.5875,0,False,False,True,1,3,2
1,1,0,65.6563,1,True,False,False,0,2,0
0,3,0,25.4667,0,False,False,True,0,2,1
1,1,0,65.6563,1,False,False,True,0,2,2
0,1,0,29.7,1,True,False,False,1,3,0
0,3,0,8.05,0,True,False,True,1,2,0
1,3,0,15.9,0,True,False,True,0,0,3
0,3,0,19.9667,0,True,False,True,0,2,0
0,3,0,7.25,0,True,False,True,1,2,0
0,1,0,30.5,1,True,False,True,1,3,0
0,1,0,49.5042,0,True,False,False,1,3,0
0,3,0,8.05,0,True,False,True,1,2,0
0,3,0,14.4583,0,True,False,False,1,2,0
1,1,0,65.6563,1,False,False,False,0,3,1
0,3,0,15.1,0,True,False,True,1,2,0
0,1,0,65.6563,1,False,False,True,0,2,2
0,3,0,7.7958,0,True,False,True,1,2,0
0,3,0,8.6625,0,True,False,True,1,1,0
0,3,0,7.75,0,False,True,False,1,2,1
0,3,0,7.6292,0,False,True,False,1,2,1
0,3,0,9.5875,0,False,False,True,1,3,1
1,1,0,65.6563,1,False,False,True,1,1,1
0,1,0,65.6563,1,True,False,False,0,1,0
1,2,0,26.0,0,False,False,True,1,2,2
1,1,0,26.55,0,True,False,True,1,3,0
0,3,0,22.525,0,True,False,True,1,2,0
1,3,0,56.4958,0,True,False,True,1,2,0
1,3,0,7.75,0,True,True,False,1,2,0
0,3,0,8.05,0,True,False,True,1,2,0
1,1,0,26.2875,1,True,False,True,1,3,0
1,1,0,59.4,0,False,False,False,0,3,2
0,3,0,7.4958,0,True,False,True,1,2,0
0,1,0,34.0208,1,True,False,True,1,3,0
1,2,0,10.5,1,False,False,True,1,2,2
0,3,0,24.15,0,True,True,False,1,2,0
1,2,0,26.0,0,False,False,True,0,3,2
0,3,0,7.8958,0,True,False,True,1,2,0
1,1,0,65.6563,1,False,False,True,1,2,1
0,3,0,7.8958,0,True,False,True,1,2,0
0,3,0,7.225,0,True,False,False,1,2,0
1,1,0,57.9792,1,False,False,False,1,3,2
0,3,0,7.2292,0,True,False,False,1,2,0
0,3,0,7.75,0,True,True,False,1,3,0
1,2,0,10.5,0,False,False,True,1,3,1
0,1,0,65.6563,1,True,False,True,1,3,0
0,3,0,7.925,0,True,False,True,1,3,0
0,2,0,11.5,0,True,False,True,0,2,0
1,2,0,26.0,0,False,False,True,0,0,1
0,3,0,7.2292,0,True,False,False,1,2,0
0,3,0,7.2292,0,True,False,False,0,1,0
1,3,0,22.3583,0,False,False,False,1,2,2
0,3,0,8.6625,0,False,False,True,1,2,1
1,2,0,26.25,0,False,False,True,1,0,1
0,1,0,26.55,1,True,False,True,1,3,4
1,1,0,65.6563,0,False,False,False,1,2,1
0,3,0,14.5,0,True,False,True,1,2,0
1,1,0,49.5,1,False,False,False,1,2,1
1,1,0,65.6563,1,False,False,True,1,3,1
0,3,0,31.275,0,False,False,True,0,0,1
0,3,0,31.275,0,False,False,True,0,0,1
1,2,0,26.0,0,True,False,True,0,2,0
0,1,0,65.6563,1,True,False,False,0,3,0
0,1,0,26.0,0,True,False,True,1,3,0
1,2,0,26.0,0,False,False,True,0,2,2
1,2,0,13.8625,0,True,False,False,1,2,0
0,3,0,20.525,0,True,False,True,0,2,0
1,2,0,36.75,0,True,False,True,0,0,3
1,1,0,65.6563,1,True,False,False,1,1,0
0,2,0,26.0,0,True,False,True,1,2,0
0,3,0,7.8292,0,True,True,False,1,2,0
1,3,0,7.225,0,True,False,False,1,2,0
1,3,0,7.775,0,False,False,True,1,2,1
0,1,0,26.55,0,True,False,True,1,3,0
1,1,0,39.6,1,False,False,False,0,3,2
0,1,0,65.6563,0,True,False,False,1,3,0
1,1,0,65.6563,1,False,False,True,0,3,2
1,3,0,17.4,0,False,False,True,0,3,2
0,3,0,7.75,0,True,True,False,1,2,0
0,3,0,7.8958,0,True,False,True,1,3,0
0,2,0,13.5,0,True,False,True,1,2,0
0,3,0,8.05,0,True,False,True,1,2,0
0,3,0,8.05,0,False,False,True,1,2,1
0,3,0,24.15,0,True,False,True,0,2,0
0,3,0,7.8958,0,True,False,True,1,2,0
0,3,0,21.075,0,False,False,True,1,2,2
0,3,0,7.2292,0,True,False,False,1,2,0
